"Inbreeding" "Drythor" "FII"
"210" "Two" "5.06" "30"
"211" "Two" "5" "44"
"212" "Two" "5.81" "29"
"213" "Two" "5.74" "48"
"214" "Two" "5.95" "57"
"215" "Two" "5.08" "65"
"216" "Two" "3.21" "62"
"217" "Two" "3.52" "57"
"218" "Two" "4.64" "51"
"219" "Two" "4.86" "53"
"220" "Two" "5.11" "61"
"221" "Two" "5.47" "56"
"222" "One" "5.69" "32"
"223" "One" "4.25" "46"
"224" "One" "5.23" "47"
"225" "One" "5.48" "32"
"226" "One" "6.14" "36"
"227" "One" "5.36" "46"
"228" "One" "5.57" "54"
"229" "One" "4.42" "40"
"230" "One" "5.44" "25"
"231" "One" "4.89" "35"
"232" "One" "6.1" "25"
"233" "None" "5.26" "49"
"234" "None" "4.1" "30"
"235" "None" "5.01" "48"
"236" "None" "4.73" "26"
"237" "None" "4.25" "42"
"238" "None" "4.25" "33"
"239" "None" "4.45" "67"
"240" "None" "4.97" "45"
"241" "None" "6.45" "11"
"242" "None" "6.3" "34"
"243" "One" "5.12" "54"
"244" "One" "5.16" "65"
"245" "One" "5.71" "53"
"246" "One" "6.61" "45"
"247" "One" "5.44" "27"
"248" "One" "5.54" "45"
"249" "One" "5.13" "27"
"250" "One" "5.33" "22"
"251" "One" "5.69" "48"
"252" "One" "5.23" "44"
"253" "One" "6.14" "74"
"254" "One" "5.01" "47"
"255" "Two" "4.92" "58"
"256" "Two" "6.28" "31"
"257" "Two" "5.66" "31"
"258" "Two" "5.42" "47"
"259" "Two" "4.62" "45"
"260" "Two" "4.92" "36"
"261" "Two" "4.42" "51"
"262" "Two" "5.1" "34"
"263" "Two" "4.62" "46"
"264" "Two" "3.81" "41"
"265" "None" "5.86" "32"
"266" "None" "5.77" "52"
"267" "None" "6.45" "32"
"268" "None" "6.26" "34"
"269" "None" "6.04" "44"
"270" "One" "5.68" "39"
"271" "One" "4.75" "31"
"272" "One" "4.91" "40"
"273" "One" "5.47" "51"
"274" "One" "6.41" "34"
"275" "One" "5.77" "33"
"276" "One" "5.37" "33"
"277" "Two" "4.4" "22"
"278" "Two" "5.32" "94"
"279" "Two" "4.47" "54"
"280" "Two" "4.23" "63"
"281" "Two" "7.4" "51"
"282" "Two" "4.03" "42"
"283" "None" "5.22" "47"
"284" "None" "4.94" "61"
"285" "None" "5.66" "37"
"286" "None" "5.68" "54"
"287" "None" "6.09" "28"
"288" "None" "6.02" "35"
"289" "None" "6.12" "42"
"290" "None" "5.79" "19"
"291" "One" "5.33" "20"
"292" "Two" "4.52" "40"
"293" "One" "5.89" "29"
"294" "Two" "3.88" "53"
"295" "Two" "4.13" "41"
"296" "Two" "6.39" "56"
"297" "Two" "4.31" "64"
"298" "Two" "4.36" "37"
"299" "Two" "5.34" "79"
"300" "Two" "4.52" "37"
"301" "Two" "5.25" "87"
"302" "Two" "5.24" "58"
"303" "Two" "5.15" "69"
"304" "None" "5.26" "44"
"305" "Two" "4.67" "70"
"306" "Two" "4.49" "34"
"307" "Two" "5.42" "64"
"308" "Two" "4.85" "69"
"309" "Two" "5.65" "42"
"310" "Two" "4.55" "27"
"311" "Two" "4.74" "46"
"312" "Two" "4" "66"
"313" "Two" "4.99" "29"
